発生日,地域,マグニチュード,最大震度
2017/9/1,沖縄,4.3,震度２
2017/9/3,沖縄,3.9,震度１
2017/9/5,沖縄,3.9,震度２
2017/9/5,沖縄,3.7,震度２
2017/9/6,沖縄,3.7,震度１
2017/9/6,沖縄,3.1,震度１
2017/9/6,沖縄,3.3,震度１
2017/9/13,沖縄,3,震度１
2017/10/12,沖縄,2.9,震度１
2017/10/30,沖縄,5.3,震度１
2017/10/31,沖縄,3.7,震度１
2017/11/5,沖縄,3.1,震度１
2017/11/12,沖縄,4.5,震度１
2017/11/16,沖縄,4.1,震度１
2017/11/23,沖縄,3.8,震度１
2017/11/24,沖縄,5.4,震度１
2017/12/8,沖縄,4.6,震度１
2017/12/10,沖縄,4,震度１
2017/12/22,沖縄,4.7,震度１
2017/12/24,沖縄,2.6,震度１
2017/12/31,沖縄,3.7,震度１
2017/12/31,沖縄,3,震度１
2017/12/31,沖縄,4.3,震度１
2018/1/28,沖縄,3.7,震度１
2018/2/4,沖縄,6.5,震度２
2018/2/7,沖縄,6.7,震度２
2018/2/26,沖縄,5.3,震度１
2018/2/28,沖縄,3.2,震度１
2018/3/1,沖縄,5.6,震度５弱
2018/3/1,沖縄,2.9,震度１
2018/3/1,沖縄,4.4,震度３
2018/3/1,沖縄,2.6,震度１
2018/3/2,沖縄,3,震度１
2018/3/2,沖縄,2.8,震度１
2018/3/2,沖縄,3.1,震度１
2018/3/2,沖縄,4.2,震度３
2018/3/2,沖縄,3.2,震度１
2018/3/2,沖縄,2.8,震度１
2018/3/2,沖縄,2.9,震度１
2018/3/2,沖縄,2.8,震度１
2018/3/2,沖縄,3.1,震度１
2018/3/2,沖縄,3.5,震度２
2018/3/2,沖縄,3.2,震度１
2018/3/2,沖縄,4,震度２
2018/3/2,沖縄,3.2,震度１
2018/3/2,沖縄,4.9,震度３
2018/3/2,沖縄,3.4,震度１
2018/3/3,沖縄,2.9,震度１
2018/3/3,沖縄,3.3,震度２
2018/3/4,沖縄,3.4,震度２
2018/3/4,沖縄,3.2,震度１
2018/3/5,沖縄,2.9,震度１
2018/3/6,沖縄,3,震度１
2018/3/6,沖縄,3,震度１
2018/3/6,沖縄,4,震度２
2018/3/6,沖縄,4.2,震度２
2018/3/8,沖縄,2.9,震度１
2018/3/8,沖縄,4,震度２
2018/3/8,沖縄,3.7,震度２
2018/3/9,沖縄,2.9,震度１
2018/3/10,沖縄,3.1,震度２
2018/3/12,沖縄,2.6,震度１
2018/3/12,沖縄,4.6,震度２
2018/3/13,沖縄,3.1,震度１
2018/3/13,沖縄,4.4,震度３
2018/3/15,沖縄,2.7,震度１
2018/3/15,沖縄,2.8,震度１
2018/3/16,沖縄,3.6,震度１
2018/3/20,沖縄,2.8,震度１
2018/3/22,沖縄,2.6,震度１
2018/3/22,沖縄,2.6,震度１
2018/3/26,沖縄,2.8,震度１
2018/4/15,沖縄,2.7,震度１
2018/4/21,沖縄,2.7,震度１
2018/4/28,沖縄,4.4,震度３
2018/4/28,沖縄,2.6,震度１
2018/4/28,沖縄,3.4,震度２
2018/4/29,沖縄,2.7,震度１
2018/4/29,沖縄,3.4,震度１
2018/4/30,沖縄,3.3,震度１
2018/5/2,沖縄,5.5,震度２
2018/5/4,沖縄,3.4,震度１
2018/5/11,沖縄,3.9,震度２
2018/5/11,沖縄,4.2,震度１
2018/5/24,沖縄,4.6,震度１
2018/5/25,沖縄,4.5,震度１
2018/5/25,沖縄,4.4,震度３
2018/5/28,沖縄,2.9,震度１
2018/6/7,沖縄,4.1,震度１
2018/6/16,沖縄,4.7,震度１
2018/6/17,沖縄,3.3,震度１
2018/6/18,沖縄,3.4,震度１
2018/6/18,沖縄,3.2,震度１
2018/6/19,沖縄,3.2,震度１
2018/6/22,沖縄,3.2,震度１
2018/6/24,沖縄,3.5,震度１
2018/6/25,沖縄,3.4,震度１
2018/6/28,沖縄,4.7,震度１
2018/6/28,沖縄,4.7,震度１
2018/6/30,沖縄,3.5,震度１
2018/7/2,沖縄,3.8,震度１
2018/7/2,沖縄,3.3,震度１
2018/7/3,沖縄,3.1,震度１
