ダウンロードした時刻：2021/02/03 17:44:52

,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多,博多
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),最深積雪(cm),最深積雪(cm),最深積雪(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/3/30,12.2,8,1,17.4,8,1,6.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/3/31,12.3,8,1,17.0,8,1,8.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/1,14.3,8,1,23.1,8,1,5.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/2,13.7,8,1,16.1,8,1,10.4,8,1,9.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/3,12.4,8,1,16.5,8,1,9.1,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/4,13.2,8,1,17.7,8,1,7.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/5,16.0,8,1,22.2,8,1,8.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/6,15.2,8,1,19.4,8,1,9.3,8,1,23.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/7,9.2,8,1,11.8,8,1,6.9,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/8,11.4,8,1,16.8,8,1,4.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/9,13.0,8,1,17.3,8,1,8.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/10,10.4,8,1,13.0,8,1,9.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/11,9.7,8,1,13.3,8,1,5.3,8,1,5.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/12,11.0,8,1,15.1,8,1,4.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/13,12.5,8,1,19.3,8,1,4.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/14,17.7,8,1,24.3,8,1,12.7,8,1,5.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/15,16.2,8,1,21.4,8,1,11.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/16,20.4,8,1,25.5,8,1,15.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/17,18.0,8,1,22.3,8,1,15.2,8,1,12.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/18,16.1,8,1,19.8,8,1,13.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/19,12.6,8,1,16.6,8,1,8.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/20,8.8,8,1,12.9,8,1,6.5,8,1,16.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/21,11.3,8,1,15.4,8,1,6.7,8,1,0.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/22,12.0,8,1,17.4,8,1,4.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/23,14.8,8,1,17.4,8,1,10.6,8,1,1.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/24,16.6,8,1,19.9,8,1,13.0,8,1,2.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/25,16.7,8,1,22.4,8,1,10.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/26,15.4,8,1,17.8,8,1,12.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/27,15.3,8,1,20.3,8,1,8.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/28,17.8,8,1,24.5,8,1,10.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/29,21.1,8,1,27.3,8,1,15.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/4/30,15.8,8,1,21.2,8,1,11.6,8,1,13.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/1,13.1,8,1,17.1,8,1,9.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/2,13.1,8,1,18.2,8,1,6.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/3,14.8,8,1,19.3,8,1,9.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/4,16.0,8,1,21.3,8,1,9.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/5,17.0,8,1,23.2,8,1,9.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/6,18.9,8,1,25.3,8,1,11.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/7,16.9,8,1,22.7,8,1,11.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/8,17.1,8,1,23.6,8,1,9.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/9,20.8,8,1,26.4,8,1,14.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/10,18.8,8,1,22.0,8,1,16.6,8,1,10.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/11,18.5,8,1,22.9,8,1,14.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/12,19.6,8,1,25.7,8,1,12.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/13,21.2,8,1,27.6,8,1,13.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/14,21.2,8,1,27.2,8,1,15.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/15,22.1,8,1,27.1,8,1,16.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/16,19.7,8,1,24.2,8,1,16.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/17,19.2,8,1,26.1,8,1,13.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/18,21.5,8,1,26.5,8,1,14.9,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/19,19.9,8,1,22.3,8,1,17.9,8,1,8.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/20,20.5,8,1,24.3,8,1,18.0,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/21,21.3,8,1,25.8,8,1,18.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/22,22.5,8,1,28.4,8,1,16.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/23,21.7,8,1,27.5,8,1,16.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/24,22.8,8,1,29.4,8,1,15.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/25,23.3,8,1,28.6,8,1,17.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/26,25.1,8,1,29.6,8,1,20.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/27,24.6,8,1,28.5,5,1,20.7,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/28,23.1,8,1,24.9,8,1,21.3,8,1,16.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/29,23.2,8,1,25.2,8,1,20.5,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/30,20.8,8,1,23.4,8,1,17.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/5/31,20.8,8,1,25.4,8,1,14.6,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/1,19.6,8,1,21.6,8,1,17.9,8,1,22.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/2,18.3,8,1,20.1,8,1,17.4,8,1,6.5,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/3,22.2,8,1,28.0,8,1,17.3,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/4,23.0,8,1,27.8,5,1,17.9,5,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/5,24.6,8,1,29.8,8,1,19.8,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/6,23.5,8,1,27.9,8,1,19.1,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/7,22.5,8,1,27.6,8,1,19.4,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
2013/6/8,22.8,8,1,26.6,8,1,19.2,8,1,0.0,8,1,,0,1,,0,1,,0,1,,0,1
